iter	Passed	Remaining
0	97	97614
1	122	60995
2	145	48338
3	168	41928
4	190	37951
5	212	35179
6	233	33129
7	253	31469
8	275	30301
9	296	29322
10	318	28663
11	341	28098
12	362	27525
13	384	27070
14	404	26584
15	426	26255
16	448	25939
17	470	25657
18	491	25389
19	514	25224
20	535	24980
21	556	24740
22	579	24624
23	601	24450
24	624	24355
25	645	24190
26	666	24010
27	687	23879
28	708	23721
29	731	23652
30	754	23569
31	775	23466
32	798	23394
33	821	23333
34	844	23281
35	867	23237
36	890	23167
37	912	23111
38	937	23096
39	960	23057
40	982	22975
41	1003	22879
42	1026	22835
43	1047	22768
44	1069	22698
45	1092	22666
46	1115	22625
47	1140	22616
48	1163	22572
49	1185	22524
50	1209	22509
51	1233	22483
52	1256	22453
53	1279	22419
54	1302	22387
55	1327	22369
56	1353	22389
57	1378	22393
58	1401	22353
59	1425	22337
60	1449	22318
61	1474	22312
62	1508	22442
63	1553	22713
64	1578	22702
65	1602	22683
66	1628	22675
67	1653	22661
68	1677	22634
69	1702	22618
70	1727	22608
71	1755	22623
72	1780	22614
73	1805	22587
74	1828	22551
75	1851	22512
76	1876	22493
77	1902	22491
78	1927	22474
79	1953	22467
80	1979	22453
81	2003	22434
82	2028	22412
83	2052	22379
84	2078	22374
85	2103	22353
86	2127	22321
87	2152	22304
88	2175	22263
89	2200	22252
90	2224	22224
91	2249	22198
92	2272	22167
93	2297	22144
94	2323	22130
95	2347	22108
96	2373	22096
97	2398	22077
98	2423	22058
99	2447	22029
100	2473	22014
101	2497	21989
102	2522	21967
103	2549	21961
104	2573	21935
105	2597	21907
106	2620	21869
107	2645	21847
108	2669	21824
109	2678	21670
110	2703	21650
111	2728	21636
112	2753	21612
113	2777	21583
114	2800	21548
115	2825	21533
116	2850	21515
117	2876	21497
118	2902	21490
119	2929	21481
120	2954	21463
121	2978	21433
122	3003	21414
123	3029	21398
124	3055	21386
125	3079	21361
126	3103	21334
127	3127	21305
128	3153	21290
129	3178	21271
130	3203	21247
131	3227	21220
132	3251	21197
133	3276	21175
134	3301	21155
135	3325	21126
136	3350	21103
137	3375	21087
138	3402	21075
139	3427	21052
140	3451	21027
141	3476	21007
142	3501	20982
143	3529	20979
144	3555	20966
145	3584	20966
146	3611	20954
147	3636	20933
148	3663	20924
149	3689	20904
150	3722	20927
151	3731	20816
152	3764	20841
153	3807	20918
154	3842	20949
155	3870	20937
156	3901	20947
157	3928	20937
158	3957	20933
159	3983	20914
160	4012	20911
161	4039	20895
162	4069	20896
163	4096	20882
164	4125	20875
165	4153	20865
166	4180	20853
167	4208	20844
168	4237	20837
169	4265	20824
170	4289	20795
171	4314	20768
172	4338	20738
173	4363	20714
174	4389	20695
175	4415	20671
176	4441	20653
177	4466	20628
178	4491	20602
179	4517	20579
180	4543	20556
181	4569	20535
182	4593	20506
183	4618	20483
184	4644	20461
185	4669	20435
186	4695	20412
187	4721	20390
188	4746	20369
189	4771	20343
190	4797	20321
191	4824	20302
192	4850	20282
193	4855	20170
194	4882	20154
195	4908	20134
196	4932	20105
197	4960	20091
198	4984	20064
199	5010	20042
200	5036	20019
201	5060	19990
202	5084	19963
203	5109	19936
204	5132	19905
205	5158	19881
206	5183	19858
207	5208	19830
208	5233	19807
209	5259	19785
210	5284	19760
211	5309	19737
212	5333	19706
213	5359	19683
214	5383	19655
215	5409	19633
216	5433	19605
217	5456	19574
218	5481	19549
219	5507	19524
220	5531	19497
221	5555	19470
222	5580	19444
223	5606	19422
224	5630	19393
225	5655	19367
226	5681	19346
227	5707	19324
228	5732	19301
229	5759	19280
230	5784	19256
231	5809	19231
232	5835	19208
233	5862	19192
234	5889	19171
235	5913	19144
236	5937	19115
237	5962	19091
238	5991	19077
239	6017	19055
240	6041	19027
241	6067	19004
242	6091	18977
243	6116	18950
244	6140	18923
245	6165	18897
246	6189	18870
247	6215	18845
248	6240	18822
249	6267	18803
250	6294	18783
